district,url,depth,status,reason,candidates_found
State Public Charter Schools,https://charterschools.nv.gov/ForSchools/For_Schools/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/Resources/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/Renewal/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/Accountability/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/Annual_Reporting_Requirements/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/Federal_and_State_Programs/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/Governance_Standards/,1,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/sscalendar/,1,cached,served from local cache,0
State Public Charter Schools,https://charterschools.nv.gov/ForParents/SPCSA_Schools/,1,cached,served from local cache,0
State Public Charter Schools,http://CharterSchools.nv.gov/ForParents/SPCSA_Schools/,1,cached,served from local cache,0
State Public Charter Schools,http://CharterSchools.nv.gov/About/Authority_Members/,2,cached,served from local cache,0
State Public Charter Schools,http://CharterSchools.nv.gov/About/Contact_Us/,2,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/About/About_the_Authority/,2,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForSchools/For_Schools/,2,cached,served from local cache,0
State Public Charter Schools,https://CharterSchools.nv.gov/ForParents/SPCSA_Schools/,2,cached,served from local cache,0
State Public Charter Schools,http://CharterSchools.nv.gov/uploadedFiles/CharterSchoolsnvgov/content/OpenASchool/251216-2026-SPCSA-NeedsAssessment-Final.pdf,2,error,not HTML: application/pdf,0
State Public Charter Schools,http://charterschools.nv.gov/About/About_the_Authority/,2,cached,served from local cache,0
State Public Charter Schools,http://charterschools.nv.gov/ForSchools/For_Schools/,2,cached,served from local cache,0
State Public Charter Schools,http://charterschools.nv.gov/ForParents/SPCSA_Schools/,2,cached,served from local cache,0
