school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
27Q260,Frederick Douglass Academy VI High School,Queens,New York City,500.0,8:20am,Q465,42.4,0.0,21.7,83.0,34.0,92.0,87.3,30.3,19.9,346.0,Unscreened,2.0,False,0.346,8.333333333333334,Late,Highest poverty
11X514,The Bronxwood Preparatory Academy,Bronx,New York City,475.0,7:55am,X362,63.5,0.0,17.7,91.0,39.0,96.0,73.7,9.7,21.9,360.0,Educational option,4.0,False,0.36,7.916666666666667,Early,Upper middle
09X227,Bronx Collegiate Academy,Bronx,New York City,500.0,8:20am,X410,75.2,11.9,8.9,85.0,33.0,101.0,93.4,19.1,21.1,388.0,Educational option,5.0,False,0.388,8.333333333333334,Late,Highest poverty
02M282,Urban Assembly Maker Academy,Manhattan,New York City,525.0,8:45am,M520,86.8,0.0,3.9,89.0,,76.0,70.19999999999999,3.8,19.5,390.0,Educational option,5.0,False,0.39,8.75,Late,Upper middle
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,New York City,480.0,8am,M088,85.1,2.1,4.3,81.0,40.0,47.0,87.3,2.9000000000000004,22.4,313.0,Audition,3.0,False,0.313,8.0,Early,Highest poverty
10X477,Marble Hill High School for International Studies,Bronx,New York City,510.0,8:30am,X475,93.8,42.0,1.8,93.0,82.0,112.0,85.5,29.7,13.4,448.0,Screened,35.0,False,0.448,8.5,Late,Highest poverty
29Q243,Institute for Health Professions at Cambria Heights,Queens,New York City,519.0,8:39am,Q490,88.0,0.0,4.0,89.0,,100.0,66.7,9.7,10.4,413.0,Educational option,3.0,False,0.413,8.65,Late,Lower middle
25Q281,East-West School of International Studies,Queens,New York City,480.0,8am,Q237,95.9,43.8,1.4,91.0,87.0,73.0,65.8,6.9,13.900000000000002,649.0,Educational option,12.0,False,0.649,8.0,Early,Lower middle
06M467,High School for Law and Public Service,Manhattan,New York City,480.0,8am,M465,51.8,1.4,27.7,88.0,42.0,141.0,91.5,39.1,25.6,481.0,Educational option,4.0,False,0.481,8.0,Early,Highest poverty
21K540,John Dewey High School,Brooklyn,New York City,495.0,8:15am,K540,74.4,17.4,8.7,88.0,56.99999999999999,609.0,78.7,17.7,12.9,2203.0,Educational option,6.0,False,2.203,8.25,Late,Upper middle
15K592,Khalil Gibran International Academy,Brooklyn,New York City,480.0,8am,K806,50.7,6.0,6.0,85.0,56.99999999999999,67.0,85.7,37.2,19.0,226.0,Educational option,1.0,False,0.226,8.0,Early,Highest poverty
27Q400,August Martin High School,Queens,New York City,490.0,8:10am,Q400,83.6,0.0,9.1,82.0,24.0,55.0,71.8,6.1,23.200000000000003,311.0,Unscreened,1.0,False,0.311,8.166666666666666,Early,Upper middle
21K728,Liberation Diploma Plus High School,Brooklyn,New York City,530.0,8:50am,K728,14.3,0.0,23.1,53.0,,91.0,86.4,8.6,39.2,245.0,Other,1.0,False,0.245,8.833333333333334,Late,Highest poverty
29Q492,"Mathematics, Science Research and Technology Magnet High School",Queens,New York City,500.0,8:20am,Q490,72.1,0.9,8.1,80.0,41.0,111.0,68.60000000000001,14.499999999999998,10.8,407.0,Educational option,2.0,False,0.407,8.333333333333334,Late,Lower middle
24Q267,High School of Applied Communication,Queens,New York City,500.0,8:20am,Q735,95.1,17.3,1.2,89.0,65.0,81.0,67.0,6.9,17.2,407.0,Unscreened,7.0,False,0.407,8.333333333333334,Late,Lower middle
02M439,Manhattan Village Academy,Manhattan,New York City,495.0,8:15am,M873,96.2,91.5,0.0,98.0,91.0,106.0,66.9,2.0,15.7,452.0,Screened,58.0,False,0.452,8.25,Late,Lower middle
10X368,In-Tech Academy (M.S. / High School 368),Bronx,New York City,534.0,8:54am,X368,90.7,0.0,5.6,91.0,78.0,108.0,79.80000000000001,16.8,21.7,1022.0,Screened,10.0,False,1.022,8.9,Late,Upper middle
13K350,Urban Assembly High School of Music and Art,Brooklyn,New York City,493.0,8:13am,K805,84.0,0.0,6.0,81.0,60.0,50.0,81.0,4.3,23.7,207.0,Educational option,4.0,False,0.207,8.216666666666667,Early,Upper middle
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Queens,New York City,440.0,7:20am,Q202,88.6,25.9,5.7,92.0,65.0,158.0,55.400000000000006,3.8,19.1,629.0,Educational option,8.0,False,0.629,7.333333333333333,Early,Lower middle
21K337,International High School at Lafayette,Brooklyn,New York City,555.0,9:15am,K400,53.3,0.0,15.2,89.0,51.0,92.0,98.3,88.8,2.3,347.0,Screened,2.0,False,0.347,9.25,Late,Highest poverty
